time,theta_b,dtheta_b,dtheta_w
2104.29,-8.72,-6.40,-19.98,-1.00
2109.37,-8.75,-5.79,-24.87,-1.00
2114.45,-8.78,-5.79,-15.31,-1.00
2119.52,-8.81,-5.31,-13.64,-1.00
2124.60,-8.83,-5.74,-28.51,-1.00
2129.68,-8.86,-4.96,-22.20,-1.00
2134.75,-8.88,-4.84,-19.40,-1.00
2139.83,-8.91,-4.81,-31.79,-1.00
2144.91,-8.96,-5.12,-22.77,-1.00
2149.98,-8.98,-4.51,-18.09,-1.00
2155.06,-9.00,-4.41,-22.56,-1.00
2160.14,-9.02,-4.37,-25.10,-1.00
2165.22,-9.04,-4.05,-15.58,-1.00
2170.29,-9.04,-4.05,-24.45,-1.00
2175.37,-9.08,-3.98,-27.31,-1.00
2180.44,-9.10,-2.97,-16.14,-1.00
2185.52,-9.11,-2.79,-27.80,-1.00
2190.60,-9.12,-2.13,-28.17,-1.00
2195.63,-9.13,-1.87,-16.11,-1.00
2200.66,-9.14,-1.49,-9.71,-1.00
2205.73,-9.15,-1.38,-8.85,-1.00
2210.81,-9.15,-1.50,-12.57,-1.00
2215.88,-9.16,-1.80,-9.79,-1.00
2220.96,-9.17,-1.79,-22.05,-1.00
2226.04,-9.18,-2.06,-9.88,-1.00
2231.07,-9.19,-2.03,-21.75,-1.00
2236.12,-9.20,-2.27,-24.67,-1.00
2241.17,-9.22,-2.35,-18.75,-1.00
2246.24,-9.23,-2.76,-22.97,-1.00
2251.32,-9.24,-2.18,-18.61,-1.00
2256.38,-9.25,-2.26,-25.93,-1.00
2261.46,-9.26,-2.41,-25.37,-1.00
2266.53,-9.27,-2.30,-5.21,-1.00
2271.61,-9.29,-2.14,-24.97,-1.00
2276.68,-9.30,-2.47,-8.62,-1.00
2281.76,-9.31,-2.01,-14.82,-1.00
2286.84,-9.32,-1.87,-26.39,-1.00
2291.91,-9.33,-1.92,-5.53,-1.00
2296.97,-9.33,-1.36,-6.30,-1.00
2302.04,-9.34,-1.44,-25.18,-1.00
2307.09,-9.35,-1.47,5.25,-1.00
2312.15,-9.35,-0.90,-28.79,-1.00
2317.20,-9.36,-1.17,-20.93,-1.00
2322.24,-9.36,-0.96,-13.79,-1.00
2327.31,-9.37,-0.92,-26.67,-1.00
2332.39,-9.37,-1.17,-18.89,-1.00
2337.46,-9.38,-1.41,-9.06,-1.00
2342.53,-9.39,-1.87,-20.01,-1.00
2347.61,-9.40,-2.05,-13.71,-1.00
2352.69,-9.41,-2.41,-21.33,-1.00
2357.76,-9.43,-3.42,-4.94,-1.00
2362.84,-9.45,-3.83,-14.27,-1.00
2367.91,-9.47,-4.51,-11.73,-1.00
2372.99,-9.49,-3.92,-22.09,-1.00
2378.06,-9.51,-4.64,-6.40,-1.00
2383.14,-9.53,-3.82,-22.27,-1.00
2388.21,-9.55,-4.05,-20.45,-1.00
2393.28,-9.57,-4.05,-16.35,-1.00
2398.34,-9.60,-5.73,21.35,-1.00
2403.40,-9.63,-5.36,63.42,-1.00
2408.47,-9.66,-5.43,23.79,-1.00
2413.54,-9.68,-5.96,29.74,-1.00
2418.62,-9.71,-5.12,6.34,-1.00
2423.70,-9.74,-5.32,-13.64,-1.00
2428.77,-9.76,-5.59,-8.05,-1.00
2433.85,-9.79,-5.78,-17.30,-1.00
2438.90,-9.83,-6.45,-14.45,-1.00
2443.98,-9.86,-7.11,-23.31,-1.00
2449.05,-9.89,-6.42,-5.84,-1.00
2454.13,-9.93,-6.95,-30.46,-1.00
2459.21,-9.96,-6.98,-21.97,-1.00
2464.24,-10.00,-7.22,-0.87,-1.00
2469.31,-10.04,-7.42,-30.87,-1.00
2474.39,-10.08,-8.82,-4.52,-1.00
2479.47,-10.12,-8.41,-19.79,-1.00
2484.54,-10.17,-8.81,-19.64,-1.00
2489.62,-10.22,-9.52,-16.38,-1.00
2494.70,-10.27,-11.72,-14.00,-1.00
2499.77,-10.33,-10.85,-30.37,-1.00
2504.85,-10.39,-12.58,-28.11,-1.00
2509.92,-10.45,-12.33,-13.64,-1.00
2515.00,-10.51,-12.31,-34.18,-1.00
2520.07,-10.58,-12.34,-7.85,-1.00
2525.15,-10.64,-14.36,-24.48,-1.00
2530.23,-10.71,-12.77,-29.97,-1.00
2535.30,-10.77,-12.44,-17.94,-1.00
2540.34,-10.83,-11.76,-9.81,-1.00
2545.37,-10.89,-12.63,-31.46,-1.00
2550.42,-10.94,-10.59,-21.88,-1.00
2555.50,-10.99,-9.84,-23.45,-1.00
2560.57,-11.04,-9.11,-23.44,-1.00
2565.64,-11.13,-8.96,-31.34,-1.00
2570.71,-11.16,-7.68,-23.97,-1.00
2575.79,-11.16,-7.68,-22.05,-1.00
2580.87,-11.24,-8.01,-22.51,-1.00
2585.94,-11.28,-7.37,-22.20,-1.00
2591.04,-11.32,-6.73,-16.11,-1.00
2596.11,-11.35,-7.43,-16.71,-1.00
2601.19,-11.38,-6.51,-22.55,-1.00
2606.22,-11.41,-6.06,-19.95,-1.00
2611.27,-11.44,-6.34,1.95,-1.00
2616.34,-11.47,-5.60,-12.47,-1.00
2621.39,-11.50,-6.04,-22.14,-1.00
2626.47,-11.53,-5.15,-11.68,-1.00
2631.55,-11.55,-4.74,-25.51,-1.00
2636.63,-11.57,-4.31,-24.33,-1.00
2641.71,-11.59,-3.75,-16.08,-1.00
2646.78,-11.61,-3.27,-0.23,-1.00
2651.81,-11.62,-2.42,-18.94,-1.00
2656.89,-11.63,-1.64,-23.14,-1.00
2661.97,-11.63,-0.92,-22.57,-1.00
2667.04,-11.63,-0.10,-20.13,-1.00
2672.12,-11.63,0.66,-12.42,-1.00
2677.20,-11.63,1.11,-10.33,-1.00
2682.23,-11.62,1.36,-19.35,-1.00
2687.32,-11.61,1.36,-9.43,-1.00
2692.39,-11.61,1.22,-24.38,-1.00
2697.47,-11.60,0.93,-16.54,-1.00
2702.51,-11.60,0.45,-21.70,-1.00
2707.56,-11.60,0.24,-28.41,-1.00
2712.62,-11.60,-0.21,-6.51,-1.00
2717.70,-11.60,-0.59,-13.60,-1.00
2722.78,-11.60,-0.64,-10.00,-1.00
2727.86,-11.61,-0.65,-21.84,-1.00
2732.94,-11.61,-0.76,-12.63,-1.00
2738.01,-11.61,-0.54,-22.20,-1.00
2743.06,-11.61,0.08,-25.71,-1.00
2748.09,-11.61,0.57,2.57,-1.00
2753.17,-11.61,0.88,-24.33,-1.00
2758.25,-11.60,1.25,-10.94,-1.00
2763.32,-11.60,0.87,-23.62,-1.00
2768.40,-11.59,0.72,-24.43,-1.00
2773.47,-11.59,0.60,-18.94,-1.00
2778.55,-11.59,0.04,-21.17,-1.00
2783.63,-11.59,-0.41,-11.40,-1.00
2788.70,-11.60,-0.78,-14.62,-1.00
2793.78,-11.60,-0.99,-19.36,-1.00
2798.85,-11.61,-1.24,-23.75,-1.00
2803.93,-11.61,-1.50,-5.24,-1.00
2809.01,-11.62,-2.09,-25.32,-1.00
2814.08,-11.63,-1.72,-6.46,-1.00
2819.16,-11.64,-1.72,-19.19,-1.00
2824.24,-11.65,-1.53,-19.46,-1.00
2829.31,-11.66,-1.36,-14.93,-1.00
2834.36,-11.66,-0.82,-12.52,-1.00
2839.43,-11.66,-0.12,-29.71,-1.00
2844.50,-11.66,0.18,-23.31,-1.00
2849.55,-11.66,0.50,-15.18,-1.00
2854.61,-11.65,0.48,-0.60,-1.00
2859.69,-11.65,0.42,-11.09,-1.00
2864.76,-11.65,0.15,-9.17,-1.00
2869.84,-11.65,-0.04,-17.62,-1.00
2874.88,-11.65,-0.34,-2.91,-1.00
2879.96,-11.66,-1.04,-20.82,-1.00
