time,theta_b,dtheta_b,dtheta_w
697.49,0.01,-0.86,-168.75,0.00
698.62,0.01,-0.86,-168.75,0.00
699.76,0.01,-0.86,-168.75,0.00
700.89,0.00,-0.65,-168.75,0.00
702.03,0.00,-0.65,-168.75,0.00
703.16,0.00,-0.65,-170.62,0.00
704.30,0.00,-0.65,-170.62,0.00
705.46,-0.00,-0.74,-170.62,0.00
706.62,-0.00,-0.74,-170.62,0.00
707.76,-0.00,-0.74,-170.62,0.00
708.89,-0.00,-0.74,-170.62,0.00
710.03,-0.01,-0.67,-170.62,0.00
711.17,-0.01,-0.67,-168.75,0.00
712.30,-0.01,-0.67,-168.75,0.00
713.44,-0.01,-0.67,-168.75,0.00
714.57,-0.01,-0.67,-168.75,0.00
715.71,-0.01,-0.68,-172.50,0.00
716.84,-0.01,-0.68,-172.50,0.00
717.97,-0.01,-0.68,-172.50,0.00
